No.,Category,Name,Importance,Discrimination Flag,In-Category Weighting,Overall Weighting of Question,Description,Good,Bad,Question,Explanation/Ground truth,Conditional score flag,Conditional applicability note,,,,,,,,,,,,,,,,,,,,
1,Accuracy,Final calculation accuracy,0 = ultra important,FALSE,54.55%,10.36%,The final calculations must be accurate given the inputs and case context.,Calculations are accurate and consistent with the inputs and case context. Hardcoded outputs are not accepted as correct - even where the value happens to be right - because there is no way to verify that the result was calculated in the workbook. A single incorrect output is enough to fail this item. Differences that follow from a documented rounding convention do not count as errors.,"Calculations contain errors, are incomplete relative to the case requirements, key outputs are absent, or the answers are hardcoded.",Are the final calculations of the model accurate given the inputs and case context?,"The final calculations must be accurate and consistent with the given inputs and case context. Calculations that are incorrect, incomplete, or missing indicate a fundamental model failure. Outputs typed in as values rather than calculated are treated as incorrect, because their correctness cannot be verified. Immaterial differences that follow from a documented rounding convention are acceptable. Different polarity might also be okay if reasonable (e.g., Cash flow of -100 instead of 100) and only due to interpretation.",FALSE,N/A,, ,Category,Count,Weighting,,Importance,Weighting,,Top-Weigthed question,Cum. Share,Share,Stats Cat,Stat,,Category,Explanation,Questions,Items,Weight
2,Accuracy,Starting values,1 = highly important,FALSE,22.73%,4.32%,"The workbook must use the correct starting/input values given in the case context, transcribed with the correct unit and scale.",Workbook uses the correct starting/input values from the case context.,"One or more starting/input values differ from the case context, or are transcribed with the wrong unit or scale.",Does the workbook use the correct starting/input values as given in the case context?,The workbook must use the correct input values specified in the case context. Using incorrect starting values will cascade errors through the entire model.,FALSE,N/A,, ,Accuracy,3,19.00%,,0 = ultra important,12.0x,,1,10.36%,10.36%,TOP-10,37.60%,,Core results & task delivery,"accurate calculations, correct inputs, task completed",1-3,3,19.00%
3,Accuracy,Deliverable completeness,1 = highly important,FALSE,22.73%,4.32%,"Every output, schedule, and deliverable specified in the case context is present and fully built out.",All deliverables specified in the case context are present and complete.,Workbook does not complete the task; outputs are missing or partial.,Does the workbook fully complete the task specified in the case context?,The workbook must complete the task given in the case context. An incomplete model that does not deliver the required outputs fails its fundamental purpose.,FALSE,N/A,, ,Assumptions,7,7.00%,,1 = highly important,5.0x,,2,14.68%,4.32%,TOP-20,54.17%,,Formatting & visual conventions,"color coding, number formats, alignment, widths, no merged cells",42-77,36,9.59%
4,Assumptions,Centralized assumptions,1 = highly important,TRUE,14.71%,1.03%,"All assumptions should be summarized at the beginning of the model or in a separate assumptions sheet, rather than hidden in calculation cells or scattered throughout the model. Assumptions should flow in one direction: from the assumptions sheet into calculations, never the reverse. A clearly labeled, self-contained input block held on a build sheet is acceptable where it is the single source for that driver and is signposted from the central assumptions sheet.",All assumptions are grouped at the start of the model or on a dedicated sheet; easy to find and update. Any input block held on a build sheet is clearly labeled and signposted from the central assumptions sheet.,"Assumptions are embedded directly in formulas (e.g., =B5*1.05) or appear on multiple sheets with no single source of truth.",Are all assumptions grouped together (centralized) at the beginning of the model?,"Grouping assumptions at the beginning of the model (or in a dedicated assumptions sheet) makes them easy to find and update, and prevents inputs from being buried in calculation cells. The flow should be strictly one-directional - assumptions feed calculations, never the other way around - to maintain a clear audit trail.",FALSE,N/A,, ,Documentation,10,4.00%,,2 = important,2.0x,,3,19.00%,4.32%,TOP-50,77.72%,,Structure & layout,"components, separation by function, tab order, fiscal year/stubs, timelines, labels, circularity",105-131,27,#NUM!
5,Assumptions,Unique assumptions,1 = highly important,TRUE,14.71%,1.03%,Each assumption should appear only once; no duplicates elsewhere in the model.,Each assumption is defined only once; no duplicates or repetitions exist.,Assumptions are duplicated or repeated across cells or sheets.,Are all assumptions unique (i.e. not duplicated elsewhere in the model)?,"Each assumption should exist in exactly one place. Duplicates cause confusion and create the risk that one copy is updated while the other is not, so the model silently uses two different values for the same driver.",FALSE,N/A,, ,Error Checks,14,13.00%,,3 = not absolutely crucial,1.0x,,4,21.94%,2.94%,>50%,17,,"Error checking, consistency & workbook hygiene","no Excel errors, ties, check rows/sheet/flag, units, performance",21-35,15,13.23%
6,Assumptions,Assumption labeling,2 = important,TRUE,5.88%,0.41%,"Each assumption must have a clear, descriptive label identifying what it represents.","Every assumption has a clear, descriptive label identifying what it represents.","Assumptions lack labels, or labels are vague (e.g., 'Rate 1', 'Input') and don't explain what the value represents.","Does each assumption have a clear, descriptive label?","A clear, descriptive label tells the reader what the assumption represents without having to trace where it is used. Vague labels such as 'Rate 1' or 'Input' force the reviewer to reverse-engineer the driver's meaning and are a common source of misinterpretation.",FALSE,N/A,, ,Flexibility,5,6.50%,,,,,5,24.73%,2.79%,,,,Assumptions architecture,"centralized, unique, labeled/sourced, single valuation-date driver",4-10,7,7.00%
7,Assumptions,Assumption units,2 = important,TRUE,5.88%,0.41%,"Each assumption must display an explicit unit of measure (e.g., %, $, x, days) so the reader can interpret values without guessing.","Every assumption displays an explicit, correct unit of measure (%, $mm, x, days).","Assumptions lack units, or units are implicit (e.g., a percentage entered as 5 with no % indicator).",Does each assumption display an explicit unit of measure?,"An explicit unit of measure (%, $mm, x, days) lets the reader interpret an assumption without guessing. Ambiguous units are a frequent cause of scale errors - for example a growth rate entered as 5 where the formula expects 0.05.",FALSE,N/A,, ,Formatting,36,9.50%,,Discrimination Factor,0.35x,,6,27.51%,2.79%,,,,Formula quality,"no hardcodes, block consistency, anchoring, stepwise, no volatile/exotic functions",78-87,10,12.77%
8,Assumptions,Assumption sources,3 = not absolutely crucial,FALSE,8.40%,0.59%,"Each assumption must reference its source (e.g., a specific section of the case context, a company filing, or a market data provider) so reviewers can verify inputs and assess staleness. Where no external source exists, the assumption must be explicitly labeled as a judgment or estimate, with an owner and a date.","Every assumption cites a specific, verifiable source (e.g., 'case context, section 2' or '10-K FY2024 p.45'), dated where a date is meaningful - or, where no external source exists, is explicitly labeled as a judgment or estimate with an owner and date.","Assumptions lack source citations, or sources are vague (e.g., 'management' with no owner, date, or document reference).","Does each assumption cite a specific, verifiable source, or is it explicitly labeled as a judgment with an owner and date?","A source citation lets a reviewer verify an input and judge whether it is still current. Where the source is external and time-sensitive, dating it makes staleness visible; stale assumptions are a common cause of misstated outputs. Not every assumption has an external source - many are genuine judgments - and those should be labeled as such, with an owner and date, rather than presented in a way that makes them look like sourced facts.",FALSE,N/A,, ,Formulas,10,12.00%,,,,,7,30.16%,2.64%,,,,Flexibility & future-proofing,"temporal flexibility, dynamic build, multi-unit, M&A readiness, reuse",36-41,6,7.00%
9,Assumptions,Named ranges for key assumptions,3 = not absolutely crucial,FALSE,8.40%,0.59%,"Key global inputs (e.g., tax_rate, valuation_date) should use named ranges to improve formula readability. Apply sparingly; overuse hides cell references and clutters the Name Manager. Names should follow a consistent convention and be self-explanatory.","Truly global, stable inputs (e.g., tax rate, valuation date) use named ranges.","Named ranges are missing for key globals, or names are unclear or inconsistently constructed.",Are key assumptions given named ranges to improve formula readability?,"Named ranges can improve readability for a small set of truly global, stable inputs (e.g., tax_rate, valuation_date). They are not a universal upgrade - overusing them hides cell references and can make audit harder. Apply sparingly and keep Name Manager clean.",TRUE,"Applies: cases whose scope implies a multi-sheet build with a handful of genuinely global, stable constants - tax rate, valuation or start date, discount rate or WACC, inflation, an FX table - that are referenced from many formulas on several different sheets, so that a name materially improves formula readability. N/A: cases implying a one- or two-sheet calculation where every assumption sits within sight of the formulas consuming it, so names would add Name Manager clutter without improving readability; also N/A where the brief bans named ranges or prescribes a fixed template layout. How to tell from the starting file: count the distinct input blocks on the assumptions tab and the number of separate schedules the brief demands - several calculation sheets drawing on the same few constants means apply; a single schedule fed by a short input list means N/A. Where applicable: grade a small, consistently named set covering the global constants only - penalize both the absence of names where formulas repeatedly reach across sheets for the same constant, and the naming of everything in sight. Note: marking this N/A does not make leftover, orphaned or misleading defined names acceptable - that is a separate hygiene check that stays in force for every model, including models that use no names at all.",, ,Model Outputs & Executive Summary,4,4.00%,,Conditional score flag,Weighting,,8,32.64%,2.48%,,,,"Audit, integrity & robustness","no hidden content, protection/VBA disclosed, no external links, sign convention, stress test",92-100,9,9.15%
10,Assumptions,Single date driver,1 = highly important,FALSE,42.02%,2.94%,"A single, clearly labeled anchor date (valuation date, as-of date, or model start date) should drive discount periods, stub periods, mid-year conventions, and roll-forwards across the model. A model with no date-dependent logic satisfies this item by default.","One labeled anchor date cell drives all date-dependent logic, including discount periods, stub periods, roll-forwards, and mid-year conventions - or the model contains no date-dependent logic.",No single date driver; dates are hardcoded or scattered across cells.,"Is there a single, clearly labeled anchor date cell (valuation date / as-of date / model start date) driving all date-dependent logic?","A single anchor date cell driving discount periods, stub periods, and roll-forwards keeps the model internally consistent and makes a date change a one-cell edit. Whatever the model type, that date is a crucial driver of everything time-dependent.",TRUE,"Applies: any case with a time dimension - a stated start, valuation or as-of date, a forecast horizon, useful lives, depreciation, debt, lease or coupon schedules, roll-forwards, payment-timing rules, day-count conventions, stub or mid-year conventions, or period headers the model must generate. N/A: cases with no time dimension at all - a single-point multiples valuation from supplied figures, a one-off cost allocation, a standalone unit-economics or pricing calculation, a static ratio analysis at one reporting date. How to tell from the starting file: scan the instructions and assumptions tabs for a start date, valuation date, model duration, useful life, payment or first coupon date, or forecast horizon. Any one of these means apply. Generic 'Year 1 ... Year n' periods still count as date-dependent where any anchor date drives them, so N/A is rare in practice. Where applicable: the test is that one labeled cell drives every date-dependent calculation - not merely that an anchor date exists somewhere. Dates re-typed into individual schedules fail even where all the values happen to agree today.",, ,Potential Dangers,9,8.00%,,FALSE,77.13%,,9,35.12%,2.48%,,,,Documentation & navigation,"comments, glossary, how-to, ToC, tab names, change log, methodology",11-20,10,4.00%
